name	code	seconds	last
selftest_v01630_foundation_data_display.py	0	1.379	[v0.16.3.0 foundation data/display] 40/40 PASS
selftest_v01630_legacy_nav_removal.py	0	1.641	[v0.16.3.0 legacy NAV removal] 44/44 PASS
selftest_v01630_user_layout_ui.py	0	1.158	[v0.16.3.0 FDI/ND user-layout UI] 79/79 PASS
selftest_v0164_consensus_runway.py	0	1.914	[v0.16.4.0 deterministic consensus-runway reference cases] 15/15 PASS
selftest_v0164_reload_land_ui.py	0	1.703	[v0.16.4.0 reload, LAND freeze, AIRFIELDS and ND contract] 56/56 PASS
selftest_v01702_runway_registry_identity.py	0	1.622	[v0.17.0.2 stock/DLC runway-registry identity regression] 20/20 PASS
selftest_v01703_startup_cache_archive.py	0	1.891	[v0.17.0.3 startup/cache/archive field-hotfix regression] 48/48 PASS
selftest_v0170_async_recording.py	0	2.508	[v0.17.0.0 asynchronous recording and archive integrity] 67/67 PASS
selftest_v0170_generation_scheduler.py	0	1.292	[v0.17.0.0 generation, latest-wins and permit model] 34/34 PASS
selftest_v0170_pc1_golden.py	0	2.151	[v0.17.0.0 PC1, display and safety invariants] 45/45 PASS
selftest_v01800_adaptive_approach_foundation.py	0	1.778	[v0.18.0.0 adaptive approach planning foundation] 30/30 PASS
selftest_v01800_cache_roundtrip_determinism.py	0	2.545	[v0.18.0.0 Gate-0 cache round-trip determinism] 23/23 PASS
selftest_v01800_cache_schema7_physical_aliases.py	0	1.138	[v0.18.0.0 schema-7 physical cache aliases] 18/18 PASS
selftest_v01800_canonical_source_cache.py	0	2.228	[v0.18.0.0 canonical source-geometry cache regression] 46/46 PASS
selftest_v01800_cp1_nd_core.py	0	2.494	[v0.18.0.0 CP1 ND core, PLAN and runway-display verification] 92/92 PASS
selftest_v01800_cp25_altitude_gate_hotfix1.py	0	1.915	[v0.18.0.0 CP2.5 altitude gate hotfix 1] 43/43 PASS
